time,RSI
2018-11-28,52.8347
2018-11-27,54.0793
2018-11-26,52.0146
2018-11-22,51.2338
2018-11-21,54.2271
2018-11-20,51.6886
2018-11-19,50.6045
2018-11-16,52.6163
2018-11-15,49.6049
2018-11-14,47.0180
2018-11-13,46.5886
2018-11-12,46.3094
2018-11-09,50.9889
2018-11-07,49.6407
2018-11-06,49.0897
2018-11-05,50.1199
2018-11-02,51.2060
2018-11-01,52.8195
2018-10-31,50.9882
2018-10-30,50.2932
2018-10-29,51.2702
2018-10-26,49.5235
2018-10-25,49.3152
2018-10-24,48.5409
2018-10-23,38.3956
2018-10-22,39.5122
2018-10-19,40.2307
2018-10-17,40.5701
2018-10-16,45.8815
2018-10-15,45.8470
2018-10-12,45.1296
2018-10-11,39.5850
2018-10-10,42.9386
2018-10-09,32.0203
2018-10-08,26.2438
2018-10-05,27.8888
2018-10-04,31.9396
2018-10-03,33.8062
2018-10-01,32.3532
2018-09-28,29.4925
2018-09-27,30.5842
2018-09-26,34.2850
2018-09-25,33.3036
2018-09-24,30.3674
2018-09-21,34.6023
2018-09-19,39.3658
2018-09-18,42.8565
2018-09-17,44.7452
2018-09-14,48.3086
2018-09-12,43.1757
2018-09-11,43.5946
2018-09-10,44.4188
2018-09-07,51.8757
2018-09-06,48.0109
2018-09-05,50.4777
2018-09-04,52.6824
2018-09-03,51.1767
2018-08-31,61.6376
2018-08-30,68.9501
2018-08-29,75.1973
2018-08-28,73.0458
2018-08-27,75.2344
2018-08-24,73.5160
2018-08-23,72.6051
2018-08-21,71.6124
2018-08-20,70.0478
2018-08-17,71.6516
2018-08-16,72.1216
2018-08-14,70.8842
2018-08-13,67.6392
2018-08-10,72.8420
2018-08-09,75.4593
2018-08-08,74.7637
2018-08-07,71.9680
2018-08-06,69.2654
2018-08-03,68.5924
2018-08-02,68.9682
2018-08-01,73.5133
2018-07-31,72.4576
2018-07-30,71.5648
2018-07-27,75.0183
2018-07-26,74.0236
2018-07-25,76.2761
2018-07-24,77.4241
2018-07-23,83.0125
2018-07-20,82.0051
2018-07-19,74.2811
2018-07-18,72.6658
2018-07-17,71.7533
2018-07-16,71.9386
2018-07-13,71.2326
2018-07-12,68.5714
2018-07-11,64.5761
2018-07-10,66.0748
2018-07-09,64.6933
2018-07-06,64.3502
2018-07-05,63.5081
2018-07-04,63.8003
2018-07-03,63.1266
2018-07-02,61.6270
2018-06-29,61.5337
2018-06-28,59.9318
2018-06-27,66.4112
2018-06-26,70.2397
2018-06-25,72.9834
2018-06-22,70.3457
2018-06-21,65.7666
2018-06-20,66.7974
2018-06-19,67.3539
2018-06-18,65.8852
2018-06-15,70.5186
2018-06-14,67.9924
2018-06-13,67.6793
2018-06-12,70.5919
2018-06-11,69.9821
2018-06-08,67.8459
2018-06-07,65.8597
2018-06-06,64.9098
2018-06-05,61.4035
2018-06-04,58.3568
2018-06-01,60.1736
2018-05-31,63.8021
2018-05-30,64.6306
2018-05-29,62.1753
2018-05-28,64.0520
2018-05-25,66.3183
2018-05-24,65.0566
2018-05-23,64.2053
2018-05-22,71.9893
2018-05-21,69.8990
2018-05-18,74.9248
2018-05-17,71.0076
2018-05-16,59.2541
2018-05-15,57.3066
2018-05-14,52.3597
2018-05-11,52.0582
2018-05-10,48.6551
2018-05-09,51.0165
2018-05-08,53.7886
2018-05-07,57.4153
2018-05-04,53.0078
2018-05-03,55.7196
2018-05-02,60.9015
2018-04-30,60.8615
2018-04-27,60.7084
2018-04-26,59.9215
2018-04-25,60.1380
2018-04-24,63.0434
2018-04-23,60.7585
2018-04-20,59.4039
2018-04-19,65.2034
2018-04-18,66.8483
2018-04-17,68.1465
2018-04-16,69.3097
2018-04-13,67.5955
2018-04-12,69.0044
2018-04-11,68.8440
2018-04-10,68.6700
2018-04-09,71.5164
2018-04-06,71.0011
2018-04-05,69.8957
2018-04-04,65.3198
2018-04-03,64.2885
2018-04-02,63.2580
2018-03-28,59.2634
2018-03-27,59.4337
2018-03-26,56.7852
2018-03-23,50.6250
2018-03-22,52.3523
2018-03-21,53.2414
2018-03-20,48.0483
2018-03-19,45.9677
2018-03-16,51.9681
2018-03-15,56.7465
2018-03-14,54.6753
2018-03-13,51.2570
2018-03-12,49.8318
2018-03-09,47.9088
2018-03-08,44.2650
2018-03-07,43.6594
2018-03-06,45.5120
2018-03-05,45.6446
2018-03-01,47.6377
2018-02-28,45.7751
2018-02-27,47.2862
2018-02-26,48.7000
2018-02-23,44.0167
2018-02-22,40.1442
2018-02-21,39.9409
2018-02-20,43.0980
2018-02-19,43.8178
2018-02-16,46.8437
2018-02-15,47.3090
2018-02-14,46.4925
2018-02-12,43.5629
2018-02-09,43.1658
2018-02-08,44.7357
2018-02-07,42.9470
2018-02-06,44.4864
2018-02-05,38.3582
2018-02-02,40.2299
2018-02-01,49.6421
2018-01-31,42.9450
2018-01-30,43.1773
2018-01-29,46.7956
2018-01-25,46.3014
2018-01-24,49.3150
2018-01-23,45.5338
2018-01-22,45.3095
2018-01-19,44.9204
2018-01-18,39.7035
2018-01-17,43.6344
2018-01-16,41.7399
2018-01-15,47.4536
2018-01-12,50.8710
2018-01-11,52.3719
2018-01-10,54.8583
2018-01-09,57.1863
2018-01-08,59.7203
2018-01-05,57.2793
2018-01-04,50.5314
2018-01-03,44.9693
2018-01-02,45.9548
2018-01-01,46.4600
2017-12-29,50.3874
2017-12-28,50.1059
2017-12-27,51.7673
2017-12-26,54.1180
2017-12-22,53.7278
2017-12-21,50.0240
2017-12-20,52.0109
2017-12-19,50.8921
2017-12-18,50.6702
2017-12-15,47.8577
2017-12-14,41.9692
2017-12-13,39.4131
2017-12-12,42.6514
2017-12-11,43.5333
2017-12-08,42.4426
2017-12-07,38.0402
2017-12-06,38.2856
2017-12-05,41.6682
2017-12-04,37.6101
2017-12-01,40.8040
2017-11-30,42.5113
2017-11-29,45.1644
2017-11-28,46.5130
2017-11-27,47.2182
2017-11-24,48.5574
2017-11-23,46.0133
2017-11-22,47.0731
2017-11-21,50.4198
2017-11-20,50.4307
2017-11-17,48.4279
2017-11-16,45.4643
2017-11-15,40.0100
2017-11-14,43.4269
2017-11-13,40.6085
2017-11-10,42.1817
2017-11-09,42.8878
2017-11-08,44.7823
2017-11-07,47.3296
2017-11-06,49.1459
2017-11-03,50.7741
2017-11-02,48.2425
2017-11-01,47.4908
2017-10-31,47.0875
2017-10-30,47.3983
2017-10-27,48.3072
2017-10-26,41.9807
2017-10-25,39.4634
2017-10-24,48.0763
2017-10-23,48.8013
2017-10-19,50.1469
2017-10-18,52.4613
2017-10-17,52.2604
2017-10-16,54.4782
2017-10-13,62.0520
2017-10-12,61.8190
2017-10-11,59.6503
2017-10-10,63.0462
2017-10-09,61.7863
2017-10-06,60.7224
2017-10-05,56.6004
2017-10-04,56.1965
2017-10-03,56.1598
2017-09-29,53.8006
2017-09-28,54.3885
2017-09-27,51.7616
2017-09-26,54.5701
2017-09-25,50.8454
2017-09-22,57.4599
2017-09-21,64.3078
2017-09-20,63.4222
2017-09-19,64.2963
2017-09-18,64.4420
2017-09-15,63.7528
2017-09-14,65.0638
2017-09-13,64.5716
2017-09-12,63.9188
2017-09-11,66.6659
2017-09-08,65.1849
2017-09-07,72.5212
2017-09-06,67.0982
2017-09-05,62.1672
2017-09-04,63.6507
2017-09-01,63.6884
2017-08-31,62.5913
2017-08-30,62.8680
2017-08-29,62.1965
2017-08-28,67.9718
2017-08-24,63.8813
2017-08-23,66.0061
2017-08-22,58.6797
2017-08-21,59.8547
2017-08-18,61.8036
2017-08-17,64.6355
2017-08-16,64.1441
2017-08-14,63.2781
2017-08-11,62.4193
2017-08-10,57.8188
2017-08-09,65.8802
2017-08-08,78.8769
2017-08-07,81.9999
2017-08-04,78.3107
2017-08-03,77.0339
2017-08-02,77.8125
2017-08-01,79.5172
2017-07-31,78.8530
2017-07-28,78.8265
2017-07-27,77.8004
2017-07-26,78.5271
2017-07-25,74.9571
2017-07-24,73.2546
2017-07-21,77.0691
2017-07-20,75.2261
2017-07-19,71.8717
2017-07-18,69.2477
2017-07-17,74.9421
2017-07-14,71.5795
2017-07-13,70.0020
2017-07-12,64.9157
2017-07-11,62.0893
2017-07-10,60.5390
2017-07-07,58.2724
2017-07-06,58.9043
2017-07-05,59.0302
2017-07-04,56.5386
2017-07-03,57.8297
2017-06-30,56.0768
2017-06-29,56.0119
2017-06-28,55.5126
2017-06-27,52.7902
2017-06-23,62.2566
2017-06-22,62.2055
2017-06-21,65.1627
2017-06-20,64.6360
2017-06-19,63.3980
2017-06-16,64.8959
2017-06-15,64.3751
2017-06-14,59.8605
2017-06-13,61.2131
2017-06-12,60.3862
2017-06-09,62.9827
2017-06-08,60.8720
2017-06-07,59.1680
2017-06-06,58.2390
2017-06-05,62.3230
2017-06-02,62.4278
2017-06-01,58.7950
2017-05-31,58.5650
2017-05-30,58.1714
2017-05-29,56.6562
2017-05-26,58.0956
2017-05-25,51.2634
2017-05-24,45.8924
2017-05-23,48.0207
2017-05-22,48.4518
2017-05-19,55.9577
2017-05-18,59.6707
2017-05-17,61.5887
2017-05-16,65.7392
2017-05-15,64.5185
2017-05-12,62.6206
2017-05-11,67.1186
2017-05-10,65.9121
2017-05-09,61.2081
2017-05-08,59.5278
2017-05-05,59.8023
2017-05-04,64.1843
2017-05-03,61.0272
2017-05-02,60.9775
2017-04-28,61.7821
2017-04-27,63.9928
2017-04-26,69.1289
2017-04-25,75.8502
2017-04-24,69.0682
2017-04-21,66.1000
2017-04-20,67.3969
2017-04-19,66.3908
2017-04-18,65.6043
2017-04-17,71.4866
2017-04-13,73.7446
2017-04-12,73.3521
2017-04-11,72.4636
2017-04-10,70.4054
2017-04-07,66.0152
2017-04-06,66.0087
2017-04-05,62.5419
2017-04-03,64.9193
2017-03-31,63.7183
2017-03-30,65.2126
2017-03-29,65.5897
2017-03-28,68.4573
2017-03-27,67.2243
2017-03-24,66.8285
2017-03-23,67.7257
2017-03-22,65.0277
2017-03-21,68.5626
2017-03-20,69.2512
2017-03-17,67.2557
2017-03-16,67.3711
2017-03-15,64.8058
2017-03-14,63.7605
2017-03-10,60.1572
2017-03-09,59.3887
2017-03-08,58.2668
2017-03-07,54.6856
2017-03-06,52.3051
2017-03-03,53.6021
2017-03-02,54.1925
2017-03-01,58.8441
2017-02-28,64.8929
2017-02-27,62.7828
2017-02-23,60.2500
2017-02-22,62.4238
2017-02-21,65.7488
2017-02-20,66.7132
2017-02-17,65.5381
2017-02-16,66.0777
2017-02-15,60.3651
2017-02-14,64.0698
2017-02-13,64.0192
2017-02-10,63.5311
2017-02-09,62.2333
2017-02-08,63.7694
2017-02-07,65.5306
2017-02-06,67.7059
2017-02-03,65.4010
2017-02-02,66.7580
2017-02-01,68.9857
2017-01-31,66.3650
2017-01-30,69.6540
2017-01-27,64.0496
2017-01-25,65.1135
2017-01-24,56.3370
2017-01-23,56.3075
2017-01-20,52.9917
2017-01-19,56.3805
2017-01-18,57.1489
2017-01-17,54.6326
2017-01-16,55.4347
2017-01-13,53.1093
2017-01-12,51.7721
2017-01-11,52.3746
2017-01-10,53.0302
2017-01-09,49.8142
2017-01-06,50.0131
2017-01-05,52.8858
2017-01-04,48.9768
2017-01-03,50.8861
2017-01-02,48.9460
2016-12-30,44.2770
2016-12-29,43.1837
2016-12-28,41.2179
2016-12-27,39.5234
2016-12-26,39.4995
2016-12-23,39.3477
2016-12-22,32.5114
2016-12-21,34.4238
2016-12-20,36.0022
2016-12-19,37.6221
2016-12-16,40.4372
2016-12-15,40.7022
2016-12-14,39.5739
2016-12-13,38.4098
2016-12-12,39.0712
2016-12-09,43.9982
2016-12-08,45.6726
2016-12-07,43.2088
2016-12-06,43.8693
2016-12-05,44.2450
2016-12-02,42.0493
2016-12-01,44.8152
2016-11-30,45.3245
2016-11-29,44.0592
2016-11-28,40.5292
2016-11-25,40.4089
2016-11-24,33.1879
2016-11-23,35.1290
2016-11-22,35.7357
2016-11-21,32.5216
2016-11-18,35.8031
2016-11-17,34.5884
2016-11-16,36.5754
2016-11-15,23.8092
2016-11-11,26.4829
2016-11-10,32.0836
2016-11-09,31.8451
2016-11-08,37.3836
2016-11-07,38.4894
2016-11-04,38.5624
2016-11-03,42.8166
2016-11-02,41.4033
2016-11-01,46.7219
2016-10-28,48.3748
2016-10-27,53.5492
2016-10-26,62.3434
2016-10-25,61.2130
2016-10-24,59.3891
2016-10-21,60.4675
2016-10-20,58.7177
2016-10-19,58.3990
2016-10-18,58.0455
2016-10-17,52.8508
2016-10-14,50.0950
2016-10-13,49.0233
2016-10-10,52.1587
2016-10-07,53.6883
2016-10-06,52.8981
2016-10-05,52.1581
2016-10-04,53.9384
2016-10-03,54.4140
2016-09-30,50.2973
2016-09-29,47.3812
2016-09-28,58.9370
2016-09-27,58.0509
2016-09-26,62.5110
2016-09-23,63.5180
2016-09-22,63.5991
2016-09-21,55.8545
2016-09-20,56.9590
2016-09-19,57.3961
2016-09-16,59.2487
2016-09-15,60.7149
2016-09-14,62.5034
2016-09-12,61.3758
2016-09-09,74.1390
2016-09-08,76.5041
2016-09-07,74.6027
2016-09-06,73.5092
2016-09-02,72.2628
2016-09-01,72.6350
2016-08-31,71.4245
2016-08-30,68.9671
2016-08-29,68.7995
2016-08-26,65.8558
2016-08-25,63.4528
2016-08-24,60.3751
2016-08-23,60.0314
2016-08-22,63.0363
2016-08-19,63.1397
2016-08-18,62.7098
2016-08-17,63.7620
2016-08-16,63.9192
2016-08-12,63.2922
2016-08-11,61.7431
2016-08-10,62.0433
2016-08-09,64.7860
2016-08-08,63.5360
2016-08-05,64.6636
2016-08-04,63.5531
2016-08-03,64.0660
2016-08-02,81.1101
2016-08-01,87.5032
2016-07-29,83.5814
2016-07-28,83.3883
2016-07-27,79.7645
2016-07-26,82.0663
2016-07-25,73.3850
2016-07-22,71.3575
2016-07-21,69.1364
2016-07-20,67.9291
2016-07-19,68.3074
2016-07-18,73.9242
2016-07-15,72.2617
2016-07-14,72.1762
2016-07-13,70.7462
2016-07-12,72.2564
2016-07-11,71.4931
2016-07-08,64.9886
2016-07-07,62.9639
2016-07-05,65.8246
2016-07-04,66.9571
2016-07-01,66.1399
2016-06-30,62.8687
2016-06-29,55.2453
2016-06-28,54.5427
2016-06-27,55.3014
2016-06-24,52.5167
2016-06-23,56.2835
2016-06-22,53.3283
2016-06-21,53.7646
2016-06-20,51.7990
2016-06-17,51.4621
2016-06-16,53.2522
2016-06-15,55.2617
2016-06-14,51.0508
2016-06-13,51.3248
2016-06-10,54.9926
2016-06-09,57.8101
2016-06-08,59.5720
2016-06-07,58.1929
2016-06-06,60.5424
2016-06-03,64.7326
2016-06-02,66.2974
2016-06-01,60.1003
2016-05-31,58.4561
2016-05-30,60.7962
2016-05-27,61.6948
2016-05-26,56.9714
2016-05-25,58.2304
2016-05-24,62.4103
2016-05-23,63.4004
2016-05-20,68.2081
2016-05-19,67.4284
2016-05-18,68.5714
2016-05-17,68.3205
2016-05-16,68.5876
2016-05-13,66.2137
2016-05-12,67.4515
2016-05-11,64.5329
2016-05-10,63.6839
2016-05-09,62.5872
2016-05-06,60.4112
2016-05-05,58.4274
2016-05-04,53.8729
2016-05-03,54.7781
2016-05-02,56.6794
2016-04-29,51.7048
2016-04-28,55.3822
2016-04-27,54.9208
2016-04-26,56.3957
2016-04-25,53.0862
2016-04-22,56.5341
2016-04-21,56.7986
2016-04-20,63.7952
2016-04-18,67.0726
2016-04-13,70.8537
2016-04-12,69.1451
2016-04-11,67.4290
2016-04-08,65.8610
2016-04-07,63.4408
2016-04-06,62.9003
2016-04-05,60.4601
2016-04-04,61.4392
2016-04-01,61.8048
2016-03-31,63.3417
2016-03-30,60.8557
2016-03-29,58.3004
2016-03-28,59.5027
2016-03-23,64.6937
2016-03-22,60.0296
2016-03-21,61.0137
2016-03-18,60.5404
2016-03-17,59.6010
2016-03-16,57.6651
2016-03-15,57.3705
2016-03-14,58.7225
2016-03-11,56.3309
2016-03-10,56.7225
2016-03-09,56.9968
2016-03-08,54.4769
2016-03-04,55.4632
2016-03-03,53.4229
2016-03-02,57.1000
2016-03-01,54.1846
2016-02-29,48.6740
2016-02-26,45.9242
2016-02-25,44.6136
2016-02-24,46.1920
2016-02-23,47.2492
2016-02-22,49.4955
2016-02-19,50.2731
2016-02-18,52.5738
2016-02-17,51.2051
2016-02-16,49.3919
2016-02-15,54.8716
2016-02-12,49.8813
2016-02-11,53.0423
2016-02-10,60.5459
2016-02-09,63.5441
2016-02-08,64.5948
2016-02-05,66.7945
2016-02-04,61.1350
2016-02-03,62.1642
2016-02-02,50.3583
2016-02-01,56.0789
2016-01-29,53.1211
2016-01-28,49.0738
2016-01-27,53.9661
2016-01-25,51.7849
2016-01-22,50.9745
2016-01-21,48.1362
2016-01-20,45.1335
2016-01-19,45.2318
2016-01-18,40.1363
2016-01-15,56.0845
2016-01-14,60.8664
2016-01-13,61.4591
2016-01-12,67.1995
2016-01-11,73.8285
2016-01-08,74.5797
2016-01-07,69.5765
2016-01-06,70.8915
2016-01-05,66.9413
2016-01-04,70.6035
2016-01-01,72.9907
2015-12-31,70.9441
2015-12-30,70.0393
2015-12-29,70.9465
2015-12-28,68.6445
2015-12-24,67.5002
2015-12-23,70.0086
2015-12-22,69.5256
2015-12-21,68.6024
2015-12-18,66.8259
2015-12-17,64.3259
2015-12-16,60.0083
2015-12-15,59.9479
2015-12-14,53.1780
2015-12-11,57.9568
2015-12-10,58.7073
2015-12-09,56.9407
2015-12-08,58.4046
2015-12-07,56.6915
2015-12-04,55.7204
2015-12-03,60.6025
2015-12-02,62.2812
2015-12-01,63.6852
2015-11-30,60.6324
2015-11-27,64.9219
2015-11-26,64.2016
2015-11-24,64.0700
2015-11-23,62.2868
2015-11-20,60.4532
2015-11-19,59.3296
2015-11-18,52.6718
2015-11-17,51.8577
2015-11-16,53.8137
2015-11-13,54.7122
2015-11-10,56.3942
2015-11-09,58.3546
2015-11-06,55.8293
2015-11-05,57.0017
2015-11-04,58.2512
2015-11-03,54.5728
2015-11-02,53.6332
2015-10-30,53.5489
2015-10-29,51.3914
2015-10-28,53.2975
2015-10-27,58.2040
2015-10-26,57.3977
2015-10-23,56.7554
2015-10-21,59.9826
2015-10-20,58.7276
2015-10-19,48.0727
2015-10-16,46.8730
2015-10-15,46.7298
2015-10-14,44.7029
2015-10-13,46.0359
2015-10-12,45.5530
2015-10-09,46.4851
2015-10-08,48.6133
2015-10-07,51.0192
2015-10-06,52.3055
2015-10-05,53.5725
2015-10-01,50.5596
2015-09-30,50.5334
2015-09-29,50.9009
2015-09-28,40.6280
2015-09-24,41.6159
2015-09-23,41.3025
2015-09-22,40.5746
2015-09-21,43.1822
2015-09-18,44.4761
2015-09-16,51.6292
2015-09-15,53.2433
2015-09-14,50.2260
2015-09-11,45.8032
2015-09-10,46.4763
2015-09-09,46.4140
2015-09-08,44.9914
2015-09-07,45.4482
2015-09-04,46.6405
2015-09-03,50.6353
2015-09-02,44.8189
2015-09-01,41.5895
2015-08-31,43.9108
2015-08-28,44.6232
2015-08-27,46.2171
2015-08-26,41.7605
2015-08-25,39.8385
2015-08-24,36.9827
2015-08-21,53.3895
2015-08-20,51.2657
2015-08-19,54.8827
2015-08-18,55.4386
2015-08-17,55.5599
2015-08-14,56.5104
2015-08-13,54.0946
2015-08-12,52.4984
2015-08-11,58.5998
2015-08-10,58.7666
2015-08-07,60.0272
2015-08-06,59.5783
2015-08-05,64.2406
2015-08-04,66.9740
2015-08-03,69.3952
2015-07-31,65.0303
2015-07-30,63.4703
2015-07-29,63.3996
2015-07-28,60.2503
2015-07-27,56.8506
2015-07-24,55.1641
2015-07-23,54.2258
2015-07-22,54.0138
2015-07-21,52.9878
2015-07-20,55.5777
2015-07-17,56.1228
2015-07-16,58.5731
2015-07-15,55.7359
2015-07-14,53.6069
2015-07-13,54.4513
